buyer,tender title,tender description ,tender category,postal_town,administrative_area_level_2,administrative_area_level_1,country
sandwell metropolitan borough council,Reopening Sandwell Domiciliary Care Service,"Reopening of ASC084 Domiciliary Care Service - Sandwell Metropolitan Borough Council wishes to Reopen the ITT for the addition of Providers to the Tier 2 List for the provision of Domiciliary Care to eligible individuals living in Sandwell. All Providers appointed will be required to deliver the Service across the whole of the Borough of Sandwell. It is anticipated that the Service, across both Tier 1 and Tier 2, will support approximately 20,000 to 25 000 hours of care per week, however the amount of hours of care per week may vary during the duration of the Agreement. The Service will provide a broad range of general personal care and support services to eligible adults (18 years old and over) aimed at enabling individuals to maintain and recover maximum independence, support their wellbeing, provide support to individuals who have recently left hospital and ultimately allow people to remain living in their own homes. The hourly rate for the period 1 April 2023 to 31 March 2024 is ?18.40 for the service has been set by the Council which will be reviewed annually in April of each year. Where appropriate, rates will be increased using a Fee Rate Escalator or through Market Sustainability uplifts. Where a Market Sustainability uplift has been utilised then the Fee Rate Escalator will not apply for that year. Details of the Fee Rate Escalator are contained in the Procurement Documents. Providers will be required to provide a high-quality service that aligns with the Council's vision for Adult Social Care and whilst participating in the further implementation of the personalisation agenda, giving citizens greater choice and control in this process. The overarching Domiciliary Care Service Agreement commenced on 1st September 2022 for an initial period of 5 years with the option of extending for up to an additional 5 years. The Effective Date for the Reopening of the service is 2nd April 2024. Bidders attention is drawn to and they should note the following:  a) There is no guarantee of volumes of work as referrals ",Social work services,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Tender for the Supply of Timber Materials - 2024 - 2027,"Tender for the Supply of Timber Materials 2024 - 2027 - Sandwell Metropolitan Borough Council has a requirement for a range of timber and timber products as detailed in the pricing schedule for delivery into the Council's supplies section at Roway Lane, Oldbury, West Midlands carriage paid. The Council will be using the In-tend e-Tendering System for this Procurement exercise, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.Value range between £1200000 and £1500000Additional TextIs a Recurrent Procurement Type? : NoAdditional information on how to apply for this contracthttps://in-tendhost.co.uk/sandwellmbc/aspx/",Wood,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Tender for the Supply of Timber Materials - 2024 - 2027,"Tender for the Supply of Timber Materials 2024 - 2027 - Sandwell Metropolitan Borough Council has a requirement for a range of timber and timber products as detailed in the pricing schedule for delivery into the Council's supplies section at Roway Lane, Oldbury, West Midlands carriage paid. The Council will be using the In-tend e-Tendering System for this Procurement exercise, please visit https://in-tendhost.co.uk/sandwellmbc to access the Sandwell MBC In-tend Supplier Portal.

Additional information: 
Is a Recurrent Procurement Type? : No",Wood,West Bromwich,West Midlands,England,United Kingdom
sandwell metropolitan borough council,Trusted Assessor Service,"Trusted Assessor Service. Sandwell Metropolitan Borough Council wishes to appoint a single Provider to the ASC113 Trusted Assessor Service to provide assessments for eligible individuals ready for discharge from hospital in Sandwell.People can sometimes wait too long for discharge from hospital resulting in poor experience of the health and care system and poorer outcomes.Trusted Assessor schemes are a national initiative designed to reduce delays when people are ready for discharge from hospital. Providers accept assessments carried out by suitably qualified 'Trusted Assessors' working under formal, written agreements.Research has shown that delayed discharges can have a significant negative impact on people's well-being. There are also risks associated with premature or poorly planned discharges.The use of a Trusted Assessor Service can reduce the numbers and waiting times of people awaiting discharge from hospital and help them to move from hospital back home or to another setting speedily, effectively and safely thereby improving patient experience, clinical safety and patient flow.The Service will operate 7 days a week. The Specification, attached as Appendix 2 to the Invitation to Tender, details the aims of the service to be provided within the contract and the connections to other services in the community.The Provider will be required to provide a high-quality service that aligns with the Council's vision for Adult Social Care.The Trusted Assessor Service Agreement will commence on 1st April 2024 for an initial period of 2 years with the option of extending for up to a further 12 months.Suitably qualified and experienced persons and organisations can view the full tender documentation that includes the Invitation to Tender, which contains details of the evaluation criteria and methodology, and Tender Response Documents; detailed Specification(s) and a copy of the Council's standard Terms and Conditions of Agreement by registering on Sandwell's In-Tend Supplier Portal.The Council will be using the In-Ten",Miscellaneous health services,West Bromwich,West Midlands,England,United Kingdom
tyne and wear fire and rescue service (twfrs),Lorry Loader and Hoist Operator Course and Slinger and Signallers Course,The primary objective of the Contract is to provide the provision of Lorry Loader and Hoist Operator Course and Slinger and Signallers Course.,Vocational training services,Sunderland,Tyne and Wear,England,United Kingdom
west sussex county council,CBC Library Book and AV Framework,Provision of Library Books and Audio visual material to the CBC Library Group,Printed books,Chichester,West Sussex,England,United Kingdom
west sussex county council,WSCC Domestic Abuse Safe Accommodation and Support Service,"West Sussex County Council is procuring a Domestic Abuse Support service covering the county of West Sussex that will accommodate and support customers in dispersed Accommodation units rather than in traditional refuge style. The services will accommodate and support those that historically have not been able to access refuge services.
These include, however are not limited to:
• those with older male children
• women with additional support needs such as mental health issues
• larger families
• men experiencing domestic abuse

The Pan Sussex Domestic Abuse strategy states that:

• Sussex local authorities should provide more domestic abuse accommodation spaces for women and their children, according to the Council of Europe's minimum standards.
• A broader menu of domestic abuse safe accommodation options, in line with a Whole Housing Approach, should be developed in Sussex. Consideration should be given to ensuring all new accommodation options are appropriate and quality assured.

This service will help meet these aims and targets by providing more safe accommodation spaces that can be accessed by a wider range of customers.

This tender is split into 2 Lots:

Lot 1 North

This Service will provide self-contained accommodation and support for at least 8 households experiencing domestic abuse. The accommodation units provided must be in the Crawley, Horsham or Mid Sussex Districts of West Sussex.

Lot 2 South

This Service will provide self-contained accommodation and support for at least 8 households experiencing domestic abuse. The accommodation units provided must be in the Adur, Arun, Chichester or Worthing districts of West Sussex.

To register as a supplier for West Sussex County Council's E-Tendering portal please visit the following link:
https://atamis-7669.my.site.com/ProSpend__CustomCommunitiesLogin?startURL=/home/home.jsp",Social work services,Chichester,West Sussex,England,United Kingdom
west sussex county council,WSCC Domestic Abuse Safe Accommodation and Support Service,"West Sussex County Council is procuring a Domestic Abuse Support service covering the county of West Sussex that will accommodate and support customers in dispersed Accommodation units rather than in traditional refuge style. The services will accommodate and support those that historically have not been able to access refuge services.<br/>These include, however are not limited to:<br/>• those with older male children<br/>• women with additional support needs such as mental health issues<br/>• larger families<br/>• men experiencing domestic abuse<br/><br/>The Pan Sussex Domestic Abuse strategy states that:<br/><br/>• Sussex local authorities should provide more domestic abuse accommodation spaces for women and their children, according to the Council of Europe’s minimum standards.<br/>• A broader menu of domestic abuse safe accommodation options, in line with a Whole Housing Approach, should be developed in Sussex. Consideration should be given to ensuring all new accommodation options are appropriate and quality assured.<br/><br/>This service will help meet these aims and targets by providing more safe accommodation spaces that can be accessed by a wider range of customers.<br/><br/>This tender is split into 2 Lots:<br/><br/>Lot 1 North<br/><br/>This Service will provide self-contained accommodation and support for at least 8 households experiencing domestic abuse. The accommodation units provided must be in the Crawley, Horsham or Mid Sussex Districts of West Sussex.<br/><br/>Lot 2 South<br/><br/>This Service will provide self-contained accommodation and support for at least 8 households experiencing domestic abuse. The accommodation units provided must be in the Adur, Arun, Chichester or Worthing districts of West Sussex.",Social work services,Chichester,West Sussex,England,United Kingdom
derby city council,Logoed Workwear,"Derby City Council is seeking to appoint a single supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.

The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.

There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.

Additional information: • If you haven't already registered on the e-tendering system, you will need to do so (link under ""Welcome"")
• Once registered, Click 'view opportunities' then 'search latest opportunities';
• Click on the contract title (DN691846 - TD1986 - Logoed Workwear
• Click 'register interest'. You can then access the tender documentation through clicking on ""My Opportunities"" then the relevant contract.

Expressions of interest and applications will only be accepted through the above tendering portal.",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,Logoed Workwear,"Derby City Council is seeking to appoint a single supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.

The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.

There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.

Additional information: • If you haven't already registered on the e-tendering system, you will need to do so (link under ""Welcome"")
• Once registered, Click 'view opportunities' then 'search latest opportunities';
• Click on the contract title (DN691846 - TD1986 - Logoed Workwear
• Click 'register interest'. You can then access the tender documentation through clicking on ""My Opportunities"" then the relevant contract.

Expressions of interest and applications will only be accepted through the above tendering portal.",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,Logoed Workwear,"Derby City Council is seeking to appoint a single supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.

The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.

There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.

Additional information: • If you haven't already registered on the e-tendering system, you will need to do so (link under ""Welcome"")
• Once registered, Click 'view opportunities' then 'search latest opportunities';
• Click on the contract title (DN691846 - TD1986 - Logoed Workwear
• Click 'register interest'. You can then access the tender documentation through clicking on ""My Opportunities"" then the relevant contract.

Expressions of interest and applications will only be accepted through the above tendering portal.",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,Logoed Workwear,"Derby City Council is seeking to appoint a single supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.

The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.

There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.

Additional information: • If you haven't already registered on the e-tendering system, you will need to do so (link under ""Welcome"")
• Once registered, Click 'view opportunities' then 'search latest opportunities';
• Click on the contract title (DN691846 - TD1986 - Logoed Workwear
• Click 'register interest'. You can then access the tender documentation through clicking on ""My Opportunities"" then the relevant contract.

Expressions of interest and applications will only be accepted through the above tendering portal.",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.
The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.
There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.
Further details can be found in the tender documents at https://www.eastmidstenders.org/",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.
The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.
There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.
Further details can be found in the tender documents at https://www.eastmidstenders.org/",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.
The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.
There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.
Further details can be found in the tender documents at https://www.eastmidstenders.org/",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council.
The initial contract period is 3 years; the contract is estimated to commence 1st January 2024 and expire 31st December 2026.
There will be an option to extend the contract for  2 years  in annual increments, subject to satisfactory performance and business needs. Maximum contract period is 5 years.
Further details can be found in the tender documents at https://www.eastmidstenders.org/",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council  is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council  is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council  is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council",Occupational clothing,Derby,Derby,England,United Kingdom
derby city council,TD1986 - Logoed Workwear,"The Council  is seeking to appoint a sole supplier for the supply of logoed workwear and uniform, to achieve a unified and compliant approach for the supply of good value, ethically sourced, quality items of product across the various departments in the Council",Occupational clothing,Derby,Derby,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:
Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordinatio",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:
Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordinatio",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:
Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordinatio",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:
Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordinatio",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service Provision,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:

Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordination

Access to the tender documents are available via:

https://yortender.eu-supply.com/login.asp?B=YORTENDER

Search current tender opportunities with reference number 76848.",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service Provision,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:

Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordination

Access to the tender documents are available via:

https://yortender.eu-supply.com/login.asp?B=YORTENDER

Search current tender opportunities with reference number 76848.",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service Provision,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:

Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordination

Access to the tender documents are available via:

https://yortender.eu-supply.com/login.asp?B=YORTENDER

Search current tender opportunities with reference number 76848.",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
north east lincolnshire council,Domestic Abuse Service Provision,"North East Lincolnshire Council (the Authority) is undertaking a procurement for domestic abuse services in North East Lincolnshire. The procurement is split into the following 4 lots:

Lot 1 - Support for Victims of Domestic Abuse within Refuge
Lot 2 - General Support for Victims of Domestic Abuse
Lot 3 - Support for Children of Victims of Domestic Abuse
Lot 4 - MARAC Coordination

Access to the tender documents are available via:

https://yortender.eu-supply.com/login.asp?B=YORTENDER

Search current tender opportunities with reference number 76848.",Social work services,Grimsby,North East Lincolnshire,England,United Kingdom
south tyneside council,Gas Planned Maintenance & Repairs,South Tyneside Homes require contractors to provide a Framework  for Gas Planned Maintenance & Repairs this will be awarded on the basis of Most Economically Advantageous Tender evaluated in accordance with the criteria as set out in this ITT.,Repair and maintenance services of machinery,South Shields,Tyne and Wear,England,United Kingdom
south tyneside council,"Framework for Electrical Re-Wiring, Installation Repair and Maintenance Works","South Tyneside Homes wish to establish a framework agreement for Electrical Re-Wiring, Installation Repair and Maintenance Works.

It is envisaged there will be a maximum of 2 suppliers appointed to the framework per lot dependent on the number and quality of bids received.
Applications via NEPO only 

https://procontract.due-north.com/",Electrical installation work,South Shields,Tyne and Wear,England,United Kingdom
south tyneside council,"Framework for Electrical Re-Wiring, Installation Repair and Maintenance Works","South Tyneside Homes wish to establish a framework agreement for Electrical Re-Wiring, Installation Repair and Maintenance Works.
It is envisaged there will be a maximum of 2 suppliers appointed to the framework per lot dependent on the number and quality of bids received.",Electrical installation work,South Shields,Tyne and Wear,England,United Kingdom
sport england,Sport England Design and Technical Assurance Consultancy Services Framework,Sport England as the contracting authority is tendering for the supply of consultancy across two lots to support Technical Assurance (TA) and Design guidance (the Services).,Business and management consultancy services,London,Greater London,England,United Kingdom
lancashire county council,Provision of Short Term Supported Accommodation Services for People with Complex Needs,"The Complex Needs Housing Contract aims to provide 
opportunities for behaviour change, health improvements and to deliver positive outcomes for individuals with Complex Needs, families and communities.
A person with 'complex needs' is someone with two or more needs which typically interact with and exacerbate one another affecting their physical, mental, social or financial wellbeing. An estimated 60,000 people across England experience at least two of the following: homelessness, reoffending, problematic substance misuse and mental ill health.
The intended target group require a range of support needs including mental health, substance misuse, a history of offending behaviour, other diagnosed and undiagnosed conditions and/or challenging behaviours. The target population includes many who are often found at the margins of society; who experience repeat homelessness; rough sleeping and those who find it difficult to secure and maintain independent living because of the level of their compounded or complex needs. The Service will be expected to deliver support effectively to individuals who are in crisis, present challenging behaviour issues and who may struggle to live within boundaries and engage in support.  
Staff will work with residents to help them identify their own strengths and goals, learn new skills, gain knowledge and increase self-awareness.  This conditional support enables complex and entrenched behaviours to be addressed, with a view to leading stable independent lives.
The success of the Service will be judged by the extent to which it meaningfully engages with service users; The Service will directly address underlying issues and develop personal capacity and recovery capital.
As part of their tender submission, it will be the provider's responsibility to source all accommodation and ensure this accommodation meets with minimum and maximum requirements stated.
The contracts are to be procured to commence for 1 April 2024.",Social work services,Preston,Lancashire,England,United Kingdom
lancashire county council,LPS CAS - Cleaning of Ventilation Systems within Commercial Kitchens 2024 - 2027 - LCC25506,Contract for cleaning of COMMERCIAL KITCHEN EXTRACTOR SYSTEMS,Consultative engineering and construction services,Preston,Lancashire,England,United Kingdom
lancashire county council,Cleaning of Ventilation Systems within Commercial Kitchens 2024 - 2027,Contract for cleaning of COMMERCIAL KITCHEN EXTRACTOR SYSTEMS,Consultative engineering and construction services,Preston,Lancashire,England,United Kingdom
nhs wales shared services partnership,Childrens Continuing Care Framework,"The Children’s Continuing Care Service (“CCCS”) has been developed to strengthen core children’s continuing care provision across the three counties of Carmarthenshire, Ceredigion and Pembrokeshire (Hywel Dda health community).
In order to support the provision of direct patient care to children and young people, the multi-agency Complex Needs panels in each county will scrutinise applications and make the recommendation to commission the provision of direct client care by the partner organisations.
Direct client care will be commissioned for two (2) categories of client need. The categories are not mutually exclusive but acknowledge that there is often a predominant need:
- Children and young people with complex medical/physical health needs (where these needs are predominant)
- Children and young people with additional needs e.g., learning disability, behaviors that challenge /ASD, Mental Health (where these needs are predominant)
Within each of the two categories of client need described above, there will be two levels of care that can be commissioned which may be delivered in the home, education or social care setting:
- Basic care – this would include a range of basic health and social care tasks and it is anticipated that all children and young people for whom the service is being commissioned would require this aspect of care.
- Enhanced care - this would include additional specialist health and social care tasks, in addition to the basic care needs of the child/young person.
The service provided by the Hywel Dda University Health Board will undertake the clinical assessment, monitoring and supervision of the health care package, as well as train and assess the competency of care provider staff.
The delivery of Continuing Care packages requires strong partnership working between agencies, professionals, families/carers and the child/young person in order to meet the holistic need.",Miscellaneous health services,Cardiff,Rhondda Cynon Taff,Wales,United Kingdom
nhs wales shared services partnership,West Wales Regional Dementia Wellbeing Connector Service,"Hywel Dda University Health Board has approved funding for the provision of West Wales Regional Dementia Wellbeing Connector Service.
The Service will provide a named point of contact for a caseload of people living with dementia within a specific geographical area from diagnosis through to end of life or admission into a care home. The expectation is that caseload numbers will be approximately 50 people living with dementia per full-time Connector. The vision for the Service is that people living with dementia and their carers will have access to consistent, coordinated wrap-around support to enable efficient and effective navigation through health, social care, and third sector services, with support for their wellbeing throughout their journey to enable them to live as well as possible with dementia.",Miscellaneous health services,Cardiff,Rhondda Cynon Taff,Wales,United Kingdom
nhs wales shared services partnership,Funding opportunity for a New GDS practice OR an addition to an existing contract in Cardiff and the,"Cardiff & Vale University Health Board (C&VUHB) is working to address health inequalities and dental access issues within its boundaries. It is therefore seeking to re-commission to either a New NHS General Dental Service (GDS) or to re-commission additional funding to an existing NHS dental contract. This is for patients residing within Cardiff and the Vale of Glamorgan following the reduction of two existing NHS contract in the South & East locality. The Health Board is looking to commission the NHS activity, with effect from 1st December 2023. The activity for 2023/2024 would be pro-rata and then full annual metrics for 2024/2025. The funding is available to bid for via two lots – Splott and Rumney. Please specify clearly which lot or lots you are bidding for when replying on the bidder response questions. The recurrent new GDS practice contract would be offered under the terms of The National Health Service (General Dental Services Agreements) (Wales) Regulations 2006.   Providers must therefore meet all the legal requirements of the General Dental Services (GDS) agreement and demonstrable experience of successful delivery of NHS Personal Dental Services.",Dental practice and related services,Cardiff,Rhondda Cynon Taff,Wales,United Kingdom
nhs wales shared services partnership,Consultant Appointment - Fire Safety Works at Brecon & Machynlleth Hospitals,"Powys Teaching Health Board intend to source fee bids for consultant commissions on this project via a multi-disciplinary appointment including Project Management Administration, Quantity Surveying and Construction Contract Administration for a Fire Safety Works at Brecon War Memorial Hospital and Bro Ddyfi Community Hospital, Machynlleth. Further detail of the requirement is included in the specification.",Consultative engineering and construction services,Cardiff,Rhondda Cynon Taff,Wales,United Kingdom
solihull mbc (sol),SOL - Extra Care Housing Services 2024,"The extra care housing schemes in Solihull offer specialist housing designed for older people aged 55 and over that are able to live independently with some care and support.  Individuals have a tenancy agreement with the landlord who will advise them on the services provided at the scheme in addition to landlord and tenant responsibilities, rent, service charges, emergency alarm systems, health and safety procedures, available activities and any wellbeing support provided by the landlord.
      The care element of the service will be delivered to individuals with eligible care and support needs as defined in the Care Act 2014. The care service will be available 24 hours a day, each day of the year to meet the assessed care and support needs to meet the outcomes detailed in the care and support plans.  During the day the care provider will be required to determine staffing levels according to the current assessed needs and risks for people in the scheme, responding to care calls and be able to respond to emergencies.  Where it is determined there is not a need for an on-site presence during the day based on assessed care and support needs the care provider will communicate to landlords, residents and commissioning the operational procedure for an emergency response.

Additional information: 
Is a Recurrent Procurement Type? : Yes",Social work services,Solihull,West Midlands,England,United Kingdom
warrington borough council,DELIVERY OF DECARBONISATION BUSINESS SUPPORT ACTIVITY IN WARRINGTON UNDER THE UK SHARED PROSPERITY FUND (UKSPF) PROGRAMME,"1.1	Warrington Borough Council (the Council) is seeking proposals from organisations to deliver a package of decarbonisation business support activity in Warrington. The activity will be delivered in person, either one to one or in group sessions, and will include:
-	business assessments: a comprehensive diagnostic assessment of their carbon footprint, including Greenhouse Gas Protocols scopes 1, 2 and 3, energy usage, and operational practices, identifying areas for improvement and providing recommendations for reducing carbon emissions 
-	technical assistance to businesses: including the installation of renewable energy technologies, energy efficiency improvements, and waste reduction measures 
-	bespoke business support: including one-to-one consultancy, training workshops, and access to networks of sustainability experts
-	skills development: promoting the uptake of green skills and technologies, offering training and development opportunities to businesses 
-	monitoring and evaluation the impact: ensuring that businesses are achieving their sustainability targets and contributing to the UK's net zero carbon emissions target

Further information and tender documents can be found at www.the-chest.org.uk
",Environmental management,Warrington,Warrington,England,United Kingdom
warrington borough council,DELIVERY OF DECARBONISATION BUSINESS SUPPORT ACTIVITY IN WARRINGTON UNDER THE UK SHARED PROSPERITY FUND (UKSPF) PROGRAMME,"1.1	Warrington Borough Council (the Council) is seeking proposals from organisations to deliver a package of decarbonisation business support activity in Warrington. The activity will be delivered in person, either one to one or in group sessions, and will include:
-	business assessments: a comprehensive diagnostic assessment of their carbon footprint, including Greenhouse Gas Protocols scopes 1, 2 and 3, energy usage, and operational practices, identifying areas for improvement and providing recommendations for reducing carbon emissions 
-	technical assistance to businesses: including the installation of renewable energy technologies, energy efficiency improvements, and waste reduction measures 
-	bespoke business support: including one-to-one consultancy, training workshops, and access to networks of sustainability experts
-	skills development: promoting the uptake of green skills and technologies, offering training and development opportunities to businesses 
-	monitoring and evaluation the impact: ensuring that businesses are achieving their sustainability targets and contributing to the UK's net zero carbon emissions target
",Environmental management,Warrington,Warrington,England,United Kingdom
warrington borough council,Culcheth Village Green Play Area,"Design and build for playground refurbishment - Culcheth Village Green, Warringto",Construction equipment,Warrington,Warrington,England,United Kingdom
hampshire county council,"Commercial Waste Collection, Disposal & Recycling Services","Commercial Waste Collection namely reuse, recycling and disposal across agreed waste streams for the Core Authorities of Hampshire County Council, Hampshire and Isle of Wight Constabulary/Office of the Police & Crime Commissioner and Hampshire & Isle of Wight Fire & Rescue Authority.  
Other Contracting Authorities including local authorities in and around Hampshire and IOW, Schools, Academies and colleges, and third sector entities may also use the Framework.
The estate consists of, but is not limited to, 730 plus buildings across numerous services within Hampshire County Council and the other named bodies.
There are numerous site types within the scope of this contract, including but not limited to: 
- Country Parks  
- Libraries 
- Primary & Secondary Schools 
- Residential Homes & Day Centres providing care services to adults & Children 
- Outdoor Centres with residential accommodation, visitor areas, -eating areas, activity rooms, etc. 
- Offices (including regional and main headquarters areas) 
- Civic and Public Services 
- Fire Stations 
- Transport Depots 
- Workshops 
- Training Centres 
- Storage Facilities 
- Restricted access specialist facilities
Whilst the Framework Agreement does not guarantee any level of work to the Supplier, it is the Core Authorities' intention to place Call-off Contracts with the Supplier soon after the Supplier is appointed to the Framework Agreement.  The Core Authorities' existing service provision is due to expire 4th July 2024.",Refuse disposal and treatment,Winchester,Hampshire,England,United Kingdom
